date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:27	40986/40986	---M-Z	200	added ('OK')	text/html	etag:%22967545-a01a-5907432b0335a%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/404.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/404.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:27	19722/19722	---M-Z	200	added ('OK')	text/html	etag:%22967562-4d0a-5907432f93215%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/coming-soon.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/coming-soon.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:28	47590/47590	---M-Z	200	added ('OK')	text/html	etag:%229675a6-b9e6-5907434268388%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/docs/dev-setup.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/docs/dev-setup.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:28	53780/53780	---M-Z	200	added ('OK')	text/html	etag:%22967587-d214-5907433c4ccf0%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/accordion.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/accordion.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:28	49861/49861	---M-Z	200	added ('OK')	text/html	etag:%2296759c-c2c5-59074340d8d2b%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/alerts.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/alerts.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:29	57947/57947	---M-Z	200	added ('OK')	text/html	etag:%22967582-e25b-5907433b85991%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/buttons.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/buttons.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:29	63675/63675	---M-Z	200	added ('OK')	text/html	etag:%22967595-f8bb-5907433ff4512%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/cards.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/cards.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:29	50301/50301	---M-Z	200	added ('OK')	text/html	etag:%2296758e-c47d-5907433e360bd%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/carousel.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/carousel.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:30	48819/48819	---M-Z	200	added ('OK')	text/html	etag:%22967594-beb3-5907433f79467%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/countdown.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/countdown.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:30	67794/67794	---M-Z	200	added ('OK')	text/html	etag:%22967589-108d2-5907433d2e62a%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/components/forms.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/components/forms.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
